mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.25	0	15/16	4/4	1	1		.b.i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	5/4	1.0	1/4	1/4	4/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	1	9/4	1.0	1/2	1/2	4/4	1	1		V65		b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	13/4	0.5	3/4	3/4	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
2	1	15/4	0.5	7/8	7/8	4/4	1	1		v6		b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	2	17/4	1.0	0	0	4/4	1	1		iv65(2)		b	i		iv65(2)	iv		65	2				mm7	1	1	-4, 0, -3, 1		-1	-4
3	2	21/4	1.0	1/4	1/4	4/4	1	1		iv65		b	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
3	2	25/4	1.0	1/2	1/2	4/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
3	2	29/4	0.5	3/4	3/4	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	31/4	0.5	7/8	7/8	4/4	1	1		#viio6		b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	3	33/4	1.0	0	0	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
4	3	37/4	1.0	1/4	1/4	4/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
4	3	41/4	1.0	1/2	1/2	4/4	1	1		III6		b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
4	3	45/4	1.0	3/4	3/4	4/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	4	49/4	1.0	0	0	4/4	1	1		IV/III		b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
5	4	53/4	1.0	1/4	1/4	4/4	1	1		ii/III		b	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
5	4	57/4	1.0	1/2	1/2	4/4	1	1		V65/III		b	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
5	4	61/4	0.5	3/4	3/4	4/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	4	63/4	0.5	7/8	7/8	4/4	1	1		ii6/III		b	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
6	5	65/4	1.5	0	0	4/4	1	1		V/III		b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	5	71/4	0.5	3/8	3/8	4/4	1	1		III6		b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	5	73/4	2.0	1/2	1/2	4/4	1	1		V65/iv		b	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
7	6	81/4	1.5	0	0	4/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	87/4	0.5	3/8	3/8	4/4	1	1		iio6		b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
7	6	89/4	0.5	1/2	1/2	4/4	1	1		#viio7		b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
7	6	91/4	0.5	5/8	5/8	4/4	1	1		V2		b	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
7	6	93/4	1.0	3/4	3/4	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	7	97/4	1.0	0	0	4/4	1	1		V2/VII		b	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
8	7	101/4	0.5	1/4	1/4	4/4	1	1		VII6		b	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
8	7	103/4	0.5	3/8	3/8	4/4	1	1		VI6		b	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	7	105/4	1.0	1/2	1/2	4/4	1	1		V65		b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	7	109/4	0.75	3/4	3/4	4/4	1	1		i(4)		b	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
8	7	28	0.25	15/16	15/16	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
9	8	113/4	4.0	0	0	4/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
10	9	129/4	1.0	0	0	4/4	1	1		i(9#764)		b	i		i(9#764)	i			9#764				m	1	1	0, -1, -4	2, 5	0	0
10	9	133/4	0.5	1/4	1/4	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
10	9	135/4	0.5	3/8	3/8	4/4	1	1		v.iio		b	v		iio	ii	o						o	1	1	2, -1, -4		2	2
10	9	137/4	1.5	1/2	1/2	4/4	1	1		V65		b	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	9	143/4	0.5	7/8	7/8	4/4	1	1		i		b	v		i	i							m	1	1	0, -3, 1		0	0
11	10	145/4	1.0	0	0	4/4	1	1		V		b	v		V	V							M	1	1	1, 5, 2		1	1
11	10	149/4	1.0	1/4	1/4	4/4	1	1		#viio/iv		b	v		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
11	10	153/4	2.0	1/2	1/2	4/4	1	1		iv		b	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	11	161/4	1.0	0	0	4/4	1	1		#viio65		b	v		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
12	11	165/4	1.0	1/4	1/4	4/4	1	1		V		b	v		V	V							M	1	1	1, 5, 2		1	1
12	11	169/4	0.5	1/2	1/2	4/4	1	1		i		b	v		i	i							m	1	1	0, -3, 1		0	0
12	11	171/4	0.5	5/8	5/8	4/4	1	1		i6		b	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	11	173/4	1.0	3/4	3/4	4/4	1	1		V		b	v		V	V							M	1	1	1, 5, 2		1	1
13	12			0	0	4/4	1	1	1	i	I	b	v		i	i							m	1	1	0, -3, 1		0	0
13	12			3/8	3/8	4/4	1	1	1	#viio7		b	v		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
13	12			1/2	1/2	4/4	1	1	1	I}		b	v		I	I						}	M	1	1	0, 4, 1		0	0
13	12			27/32	27/32	4/4	1	1	1	i.i6{		b	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
14	12	177/4	1.5	0	0	4/4	1	1	2	i	I	b	v		i	i							m	1	1	0, -3, 1		0	0
14	12	183/4	0.5	3/8	3/8	4/4	1	1	2	#viio7		b	v		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
14	12	185/4	1.75	1/2	1/2	4/4	1	1	2	I}		b	v		I	I						}	M	1	1	0, 4, 1		0	0
14	12	48	2.25	15/16	15/16	4/4	1	1	2	i.V{		b	i		V	V						{	M	1	1	1, 5, 2		1	1
15	13	201/4	0.5	1/2	1/2	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	13	203/4	0.5	5/8	5/8	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
15	13	205/4	1.0	3/4	3/4	4/4	1	1		V65		b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
16	14	209/4	2.0	0	0	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
16	14	217/4	2.0	1/2	1/2	4/4	1	1		V2/iv		b	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
17	15	225/4	1.0	0	0	4/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
17	15	229/4	1.0	1/4	1/4	4/4	1	1		iv7/iv		b	i		iv7/iv	iv		7		iv			mm7	1	1	-2, -5, -1, -4		-2	-2
17	15	233/4	1.5	1/2	1/2	4/4	1	1		V/iv		b	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
17	15	239/4	0.5	7/8	7/8	4/4	1	1		iio/vii		b	i		iio/vii	ii	o			vii			o	1	1	0, -3, -6		0	0
18	16	241/4	2.0	0	0	4/4	1	1		V65/vii		b	i		V65/vii	V		65		vii			Mm7	1	1	3, 0, -3, -1		-1	3
18	16	249/4	1.5	1/2	1/2	4/4	1	1		vii		b	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
18	16	255/4	0.5	7/8	7/8	4/4	1	1		iio6/iv		b	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
19	17	257/4	1.0	0	0	4/4	1	1		V65/iv		b	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
19	17	261/4	2.0	1/4	1/4	4/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
19	17	269/4	1.0	3/4	3/4	4/4	1	1		V43/bII		b	i		V43/bII	V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
20	18	273/4	1.0	0	0	4/4	1	1		.bII		b	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
20	18	277/4	1.0	1/4	1/4	4/4	1	1		viio/V/iv		b	i		viio/V/iv	vii	o			V/iv			o	1	1	5, 2, -1		5	5
20	18	281/4	1.0	1/2	1/2	4/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
20	18	285/4	0.5	3/4	3/4	4/4	1	1		V(4)/iv		b	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
20	18	287/4	0.5	7/8	7/8	4/4	1	1		V/iv		b	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
21	19	289/4	2.0	0	0	4/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
21	19	297/4	2.0	1/2	1/2	4/4	1	1		V65/III		b	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
22	20	305/4	1.0	0	0	4/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
22	20	309/4	1.0	1/4	1/4	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	20	313/4	1.0	1/2	1/2	4/4	1	1		#viio43		b	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
22	20	317/4	0.5	3/4	3/4	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	20	319/4	0.5	7/8	7/8	4/4	1	1		#viio6		b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
23	21	321/4	0.5	0	0	4/4	1	1		i(4)		b	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
23	21	323/4	1.5	1/8	1/8	4/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
23	21	329/4	2.0	1/2	1/2	4/4	1	1		iio6/iv		b	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
24	22	337/4	2.0	0	0	4/4	1	1		V65/iv		b	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
24	22	345/4	2.0	1/2	1/2	4/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
25	23	353/4	0.5	0	0	4/4	1	1		#viio7		b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
25	23	355/4	0.5	1/8	1/8	4/4	1	1		V2		b	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
25	23	357/4	1.0	1/4	1/4	4/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
25	23	361/4	0.5	1/2	1/2	4/4	1	1		viio/V		b	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
25	23	363/4	0.5	5/8	5/8	4/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
25	23	365/4	0.5	3/4	3/4	4/4	1	1		V(64)		b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
25	23	367/4	0.5	7/8	7/8	4/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
26	24			0	0	4/4	1	1	1	i}		b	i		i	i						}	m	1	1	0, -3, 1		0	0
26	24			15/16	15/16	4/4	1	1	1	V{		b	i		V	V						{	M	1	1	1, 5, 2		1	1
27	24	369/4	4.0	0	0	4/4	1	1	2	i}		b	i		i	i						}	m	1	1	0, -3, 1		0	0
